Soil_Type,Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Temperature,Humidity,Rainfall,Crop_Type,Crop_Growth_Stage,Season,Irrigation_Type,Previous_Crop,Region,Fertilizer_Used_Last_Season,Yield_Last_Season,Recommended_Fertilizer
Silt,7.16,24.58,0.34,0.15,104,60,94,29.21,78.34,1301.53,Potato,Sowing,Rabi,Rainfed,Tomato,South,202.39,2.32,Compost
Silt,7.53,15.45,1.14,1.88,70,56,33,29.41,84.67,1036.97,Tomato,Vegetative,Zaid,Sprinkler,Sugarcane,North,77.03,1.0,MOP
Loamy,5.65,25.66,1.22,0.96,31,67,86,25.54,39.87,1355.14,Rice,Vegetative,Kharif,Canal,Maize,Central,202.72,4.22,Urea
Silt,8.12,24.7,0.8,2.83,76,69,85,24.61,41.64,1379.48,Potato,Flowering,Rabi,Drip,Potato,East,166.26,5.84,Zinc Sulphate
Silt,6.8,42.67,1.05,1.59,38,30,118,13.72,61.09,711.14,Maize,Sowing,Rabi,Canal,Maize,East,160.12,5.15,DAP
Sandy,7.44,47.02,0.84,2.75,96,77,11,19.13,36.05,2622.28,Tomato,Harvest,Kharif,Rainfed,Cotton,Central,145.66,7.45,MOP
Clay,6.61,44.37,0.83,0.65,56,61,66,25.13,51.58,1009.37,Rice,Vegetative,Kharif,Sprinkler,Sugarcane,South,103.63,4.06,Urea
Sandy,7.15,44.16,0.3,0.22,109,67,29,22.18,47.33,776.68,Maize,Harvest,Kharif,Sprinkler,Potato,Central,252.88,7.81,MOP
Sandy,7.6,36.41,0.7,1.2,110,75,106,21.63,79.03,1130.08,Rice,Vegetative,Kharif,Drip,Maize,Central,185.44,4.21,Zinc Sulphate
Silt,6.95,42.61,0.53,1.1,37,17,106,20.06,73.4,3000.0,Tomato,Sowing,Zaid,Sprinkler,Cotton,South,300.0,1.0,DAP
Sandy,6.66,40.26,0.71,1.18,158,45,32,18.91,66.91,1804.82,Tomato,Flowering,Kharif,Canal,Sugarcane,South,178.74,6.46,MOP
Loamy,6.47,46.68,0.55,1.38,65,80,84,30.04,50.0,919.1,Rice,Sowing,Kharif,Rainfed,Tomato,East,257.27,5.45,MOP
Sandy,5.31,36.35,0.2,1.73,55,17,64,25.28,61.47,2153.37,Sugarcane,Sowing,Zaid,Drip,Maize,West,109.71,3.76,SSP
Silt,6.67,43.23,1.07,1.28,35,69,70,23.63,49.23,1840.69,Maize,Harvest,Zaid,Drip,Potato,South,202.17,4.22,Urea
Clay,7.78,37.65,1.13,0.56,60,80,83,29.29,43.41,1847.55,Maize,Harvest,Zaid,Rainfed,Maize,Central,263.15,4.34,Zinc Sulphate
Silt,8.24,25.06,0.7,1.1,109,67,111,22.81,83.18,1124.32,Rice,Harvest,Rabi,Drip,Cotton,East,127.6,5.71,Zinc Sulphate
Loamy,6.89,33.79,1.09,1.44,106,41,21,20.81,70.61,2278.11,Tomato,Flowering,Kharif,Rainfed,Cotton,West,81.09,1.04,MOP
Clay,5.67,28.43,0.49,0.77,72,23,45,30.05,66.17,2281.6,Wheat,Sowing,Kharif,Drip,Potato,South,137.54,4.45,NPK
Silt,4.7,56.04,1.01,1.5,37,48,95,38.27,60.36,1507.56,Wheat,Harvest,Rabi,Rainfed,Wheat,South,259.13,2.91,Urea
Loamy,6.05,30.75,0.27,0.29,87,47,39,33.81,30.0,200.0,Rice,Sowing,Zaid,Drip,Maize,South,219.46,7.16,Compost
Silt,5.09,18.82,1.01,1.11,80,12,94,33.3,71.79,2092.71,Rice,Flowering,Zaid,Drip,Wheat,Central,268.74,1.0,SSP
Sandy,7.66,50.95,0.56,1.96,36,19,28,22.24,45.09,2566.04,Wheat,Flowering,Rabi,Drip,Rice,West,64.67,2.81,Urea
Clay,5.44,22.51,0.73,1.61,72,47,13,32.62,30.0,2052.0,Maize,Flowering,Rabi,Canal,Cotton,Central,186.51,5.98,MOP
Clay,8.1,10.0,0.79,1.09,60,81,118,24.97,68.07,3000.0,Rice,Flowering,Rabi,Canal,Cotton,North,123.7,3.47,Zinc Sulphate
Silt,6.95,51.65,0.81,1.41,44,31,51,25.91,36.98,1079.28,Cotton,Sowing,Rabi,Sprinkler,Rice,Central,162.89,4.62,DAP
Sandy,7.82,44.86,0.82,1.0,115,71,110,29.38,58.89,1841.42,Potato,Sowing,Zaid,Rainfed,Rice,East,201.87,4.87,Zinc Sulphate
Clay,8.0,32.34,0.96,1.38,96,86,36,22.69,57.0,200.0,Rice,Harvest,Zaid,Rainfed,Maize,West,236.41,2.15,MOP
Silt,5.81,17.88,0.89,1.66,35,69,89,30.57,46.24,1707.24,Wheat,Vegetative,Zaid,Drip,Cotton,West,81.47,3.11,Urea
Clay,4.5,18.7,0.34,1.28,132,61,30,26.96,49.37,1510.08,Tomato,Sowing,Rabi,Canal,Rice,West,181.91,4.69,Compost
Clay,6.86,26.24,0.89,1.58,105,86,22,27.38,60.49,1951.59,Cotton,Harvest,Rabi,Rainfed,Sugarcane,Central,160.1,4.14,MOP
Loamy,8.07,37.18,0.47,1.71,64,30,48,23.66,62.4,1570.51,Rice,Sowing,Rabi,Rainfed,Rice,East,275.28,3.59,NPK
Silt,7.87,58.06,0.7,1.33,117,21,85,33.9,51.7,2654.14,Potato,Vegetative,Kharif,Rainfed,Maize,North,136.59,6.35,DAP
Loamy,5.34,41.83,0.91,0.52,79,26,77,36.04,41.14,2435.89,Cotton,Vegetative,Zaid,Canal,Wheat,South,145.66,4.13,SSP
Clay,5.74,25.33,0.83,1.89,119,63,22,25.92,30.96,492.14,Maize,Flowering,Rabi,Canal,Potato,East,134.64,5.95,MOP
Sandy,8.0,30.55,1.11,1.03,121,43,19,20.35,87.06,2341.5,Tomato,Flowering,Zaid,Rainfed,Maize,Central,50.0,5.91,MOP
Loamy,6.09,41.37,0.54,0.33,43,82,56,30.03,71.13,1680.94,Sugarcane,Harvest,Kharif,Drip,Potato,East,184.79,4.61,Urea
Silt,6.99,53.98,0.21,1.53,73,25,22,15.17,77.4,1285.3,Potato,Vegetative,Kharif,Drip,Tomato,South,160.53,1.0,NPK
Loamy,8.5,40.02,1.04,0.9,21,33,46,28.92,75.0,1810.41,Sugarcane,Harvest,Zaid,Drip,Cotton,West,118.73,3.81,DAP
Sandy,5.32,52.64,1.45,2.63,135,56,47,21.38,37.84,301.25,Potato,Vegetative,Kharif,Sprinkler,Rice,South,68.92,5.65,Compost
Silt,6.96,22.24,0.3,1.92,21,14,36,25.58,58.2,2001.07,Wheat,Harvest,Kharif,Canal,Maize,East,142.35,5.8,Compost
Silt,4.69,40.52,0.59,1.42,152,70,55,37.77,30.06,1533.87,Cotton,Harvest,Kharif,Canal,Cotton,West,196.92,5.07,Compost
Silt,6.04,21.33,0.64,0.84,55,11,29,26.09,81.07,2098.63,Tomato,Sowing,Kharif,Canal,Potato,South,210.23,2.6,NPK
Clay,7.18,29.58,0.32,2.51,133,55,78,21.96,66.75,594.86,Cotton,Flowering,Kharif,Sprinkler,Wheat,East,158.39,5.67,NPK
Loamy,4.74,35.48,0.66,1.97,150,60,12,26.02,80.68,861.34,Cotton,Flowering,Kharif,Rainfed,Tomato,East,242.35,5.21,MOP
Loamy,6.56,25.24,0.54,1.55,31,22,51,23.03,36.44,1360.98,Maize,Sowing,Zaid,Drip,Sugarcane,South,244.72,7.25,DAP
Sandy,5.81,19.5,0.48,1.67,77,27,97,26.0,68.94,1597.18,Sugarcane,Sowing,Rabi,Drip,Maize,East,122.13,6.4,SSP
Loamy,6.22,27.22,0.8,1.29,43,38,14,28.45,45.88,1915.83,Cotton,Vegetative,Kharif,Sprinkler,Sugarcane,Central,172.99,1.29,NPK
Silt,6.09,18.8,0.57,1.64,35,54,96,22.56,48.23,200.0,Potato,Vegetative,Kharif,Drip,Rice,North,151.58,3.9,Urea
Clay,8.05,40.52,0.85,0.1,31,28,13,16.47,58.01,1335.05,Cotton,Vegetative,Kharif,Canal,Tomato,West,206.75,5.4,NPK
Sandy,6.32,29.15,1.27,1.74,116,30,100,25.12,71.01,3000.0,Sugarcane,Harvest,Rabi,Canal,Sugarcane,Central,215.22,1.0,SSP
Clay,5.18,43.49,0.61,3.0,28,38,50,26.7,59.0,1888.06,Potato,Vegetative,Zaid,Sprinkler,Rice,South,193.1,5.43,NPK
Sandy,6.28,22.59,1.06,1.22,64,28,97,14.37,82.78,200.0,Cotton,Sowing,Rabi,Canal,Potato,East,233.82,2.04,SSP
Sandy,5.99,41.66,0.92,2.41,137,47,102,39.66,58.2,2875.05,Wheat,Harvest,Kharif,Drip,Cotton,East,84.32,7.8,Zinc Sulphate
Silt,7.11,41.16,0.73,0.89,60,36,19,24.38,30.0,1293.47,Rice,Vegetative,Zaid,Sprinkler,Cotton,Central,187.49,3.47,NPK
Clay,7.83,35.06,0.58,1.76,53,21,101,28.26,66.04,1541.85,Cotton,Flowering,Kharif,Rainfed,Sugarcane,North,164.57,3.15,DAP
Silt,6.64,10.0,0.79,1.29,105,70,23,25.95,35.63,823.49,Cotton,Sowing,Rabi,Drip,Maize,Central,245.77,5.92,Zinc Sulphate
Sandy,6.63,26.67,0.4,0.1,34,31,28,27.39,79.18,2864.52,Tomato,Sowing,Kharif,Rainfed,Potato,North,254.33,3.95,Compost
Clay,7.09,22.64,0.81,1.47,38,63,91,21.04,52.95,1178.58,Maize,Vegetative,Rabi,Drip,Tomato,East,300.0,6.98,Urea
Sandy,7.22,10.0,0.56,0.1,24,30,71,16.01,60.31,1264.76,Sugarcane,Flowering,Rabi,Sprinkler,Potato,East,196.64,2.26,DAP
Sandy,6.08,38.46,0.93,0.76,23,60,65,21.99,73.68,1518.28,Wheat,Flowering,Rabi,Sprinkler,Wheat,East,214.87,3.58,Urea
Clay,4.92,26.88,1.28,2.72,78,72,43,36.22,71.51,205.98,Sugarcane,Sowing,Rabi,Sprinkler,Tomato,North,136.62,6.82,MOP
Silt,7.93,22.41,1.06,2.04,110,67,59,14.21,78.14,1163.72,Maize,Sowing,Zaid,Rainfed,Wheat,East,189.48,5.4,Zinc Sulphate
Clay,6.33,43.97,0.85,1.31,29,77,104,29.32,69.74,1238.45,Rice,Harvest,Kharif,Rainfed,Wheat,West,77.99,4.73,Urea
Clay,5.69,40.28,0.88,1.45,56,23,12,33.87,42.75,2453.78,Cotton,Sowing,Rabi,Rainfed,Potato,East,75.75,3.77,NPK
Sandy,5.0,56.04,1.36,0.98,150,42,12,13.57,30.95,2269.19,Rice,Vegetative,Zaid,Rainfed,Tomato,South,295.89,4.72,MOP
Silt,7.15,22.93,0.81,1.99,54,54,77,24.89,37.2,1307.51,Potato,Vegetative,Rabi,Drip,Cotton,South,147.67,4.36,Urea
Clay,6.73,36.18,0.38,1.64,38,40,22,20.24,66.55,2184.1,Sugarcane,Sowing,Zaid,Sprinkler,Potato,North,213.68,5.09,NPK
Loamy,6.1,29.54,0.75,2.34,35,11,87,31.97,51.15,1495.67,Potato,Vegetative,Kharif,Drip,Cotton,North,186.01,5.63,DAP
Loamy,7.28,24.51,0.75,1.21,31,26,50,26.54,49.14,342.99,Rice,Sowing,Kharif,Drip,Potato,North,239.92,1.0,DAP
Sandy,8.19,18.58,1.5,1.03,150,81,98,33.58,44.07,1792.52,Maize,Harvest,Kharif,Canal,Cotton,West,50.0,6.85,Zinc Sulphate
Loamy,8.03,46.58,0.5,2.73,36,14,119,20.13,65.51,1699.75,Sugarcane,Sowing,Rabi,Rainfed,Tomato,West,299.29,5.02,DAP
Clay,8.16,56.6,1.25,2.94,108,44,106,29.16,41.26,1942.47,Cotton,Harvest,Rabi,Rainfed,Rice,East,221.6,1.28,Zinc Sulphate
Sandy,8.31,36.44,0.67,1.35,123,53,113,16.31,58.63,959.56,Potato,Vegetative,Kharif,Rainfed,Sugarcane,East,201.76,1.0,Zinc Sulphate
Clay,7.9,60.0,0.91,0.99,34,26,61,23.54,31.18,1166.38,Tomato,Sowing,Kharif,Rainfed,Cotton,South,130.94,2.14,DAP
Silt,6.34,52.9,0.55,2.26,53,25,25,40.0,33.35,756.85,Cotton,Vegetative,Zaid,Sprinkler,Cotton,Central,146.63,4.15,NPK
Silt,6.8,32.13,0.6,2.25,52,10,106,35.63,76.92,1207.76,Cotton,Vegetative,Rabi,Rainfed,Wheat,West,50.0,6.05,DAP
Loamy,8.19,29.32,0.52,1.6,77,57,96,28.67,75.46,2210.14,Maize,Vegetative,Kharif,Drip,Tomato,East,136.01,3.86,Zinc Sulphate
Sandy,7.32,41.63,0.84,0.85,20,19,30,19.63,48.42,1908.17,Cotton,Flowering,Zaid,Drip,Cotton,North,163.97,5.53,NPK
Silt,7.36,16.46,0.87,3.0,46,21,77,22.42,64.11,1066.38,Wheat,Flowering,Kharif,Rainfed,Rice,Central,125.96,1.05,DAP
Silt,7.84,10.0,0.4,0.8,156,39,56,24.04,40.81,283.29,Cotton,Sowing,Zaid,Canal,Potato,East,150.25,2.6,Compost
Clay,6.26,40.82,0.94,1.71,56,16,47,31.45,70.58,962.55,Wheat,Sowing,Kharif,Canal,Sugarcane,North,112.15,1.9,NPK
Sandy,5.61,27.5,0.29,2.24,34,69,62,34.67,46.88,512.18,Sugarcane,Sowing,Zaid,Rainfed,Wheat,West,185.86,1.0,Compost
Loamy,7.8,37.32,0.95,1.68,110,60,86,26.44,45.88,649.09,Wheat,Flowering,Zaid,Sprinkler,Sugarcane,North,300.0,4.58,Zinc Sulphate
Silt,6.69,34.03,0.2,1.63,21,33,38,26.4,55.12,2297.3,Wheat,Flowering,Rabi,Drip,Maize,West,178.81,8.0,NPK
Loamy,6.15,23.42,0.21,1.26,43,50,21,26.94,56.87,235.54,Rice,Harvest,Rabi,Canal,Tomato,West,221.9,5.73,Compost
Silt,4.5,32.13,0.6,1.07,32,34,17,21.21,39.35,1108.96,Rice,Flowering,Zaid,Rainfed,Rice,West,223.73,2.67,NPK
Loamy,7.84,42.71,1.33,0.97,142,89,52,25.19,63.65,1059.75,Cotton,Vegetative,Zaid,Drip,Cotton,West,90.32,5.74,Zinc Sulphate
Clay,5.75,14.1,0.6,1.11,23,25,58,29.39,52.77,1420.72,Tomato,Harvest,Zaid,Rainfed,Rice,East,169.99,4.01,DAP
Sandy,6.47,24.65,0.21,0.8,141,17,20,13.84,42.75,200.0,Maize,Sowing,Kharif,Drip,Rice,North,146.25,7.57,Compost
Loamy,7.37,42.93,1.11,2.07,28,15,17,13.54,53.08,1759.14,Maize,Vegetative,Kharif,Drip,Maize,North,167.8,2.45,NPK
Silt,7.33,47.77,0.74,1.99,24,76,58,28.5,77.71,475.88,Tomato,Vegetative,Zaid,Sprinkler,Wheat,East,134.36,1.85,Urea
Clay,7.17,44.99,0.78,0.79,48,30,83,23.95,54.8,1985.39,Rice,Vegetative,Rabi,Sprinkler,Sugarcane,South,196.11,7.16,DAP
Silt,7.63,17.94,0.83,0.78,53,10,85,32.9,50.86,1486.69,Rice,Sowing,Zaid,Drip,Tomato,West,226.88,5.17,Compost
Loamy,8.5,55.55,0.78,0.81,148,49,60,16.58,58.53,521.33,Rice,Harvest,Zaid,Drip,Potato,South,300.0,6.5,Zinc Sulphate
Sandy,7.97,27.7,0.67,1.49,137,80,95,35.0,39.26,1485.11,Potato,Sowing,Zaid,Drip,Cotton,North,122.28,3.22,Zinc Sulphate
Loamy,6.44,30.25,0.46,1.9,97,27,56,31.19,32.29,2070.17,Potato,Sowing,Kharif,Rainfed,Wheat,West,160.7,3.52,SSP
Silt,5.02,23.89,0.38,1.48,91,87,116,19.03,60.21,1598.67,Cotton,Sowing,Zaid,Sprinkler,Maize,Central,115.88,6.53,Compost
Loamy,8.07,27.19,0.52,2.75,114,78,79,35.65,55.46,1271.61,Maize,Vegetative,Zaid,Rainfed,Rice,Central,218.32,1.49,Zinc Sulphate
Clay,4.79,36.6,1.5,1.03,97,21,87,26.71,66.06,814.71,Rice,Vegetative,Zaid,Sprinkler,Sugarcane,West,217.65,4.9,SSP
Sandy,5.79,37.62,0.76,1.87,118,24,52,13.16,59.6,493.38,Sugarcane,Harvest,Rabi,Sprinkler,Maize,East,208.02,6.06,SSP
Sandy,4.89,55.05,0.98,0.31,85,32,67,27.56,61.66,1933.32,Sugarcane,Sowing,Rabi,Rainfed,Potato,East,241.72,2.15,SSP
Silt,6.02,24.19,0.73,0.96,39,66,62,23.55,35.06,1141.71,Potato,Flowering,Zaid,Sprinkler,Rice,West,184.31,3.48,Urea
Sandy,6.99,15.6,1.11,1.22,31,17,80,24.26,65.23,1820.9,Rice,Flowering,Rabi,Canal,Rice,East,271.35,1.0,DAP
Clay,7.3,48.55,1.04,1.74,99,56,104,18.34,58.61,1924.93,Maize,Vegetative,Kharif,Rainfed,Sugarcane,North,164.98,3.27,Zinc Sulphate
Loamy,6.79,33.97,0.57,0.9,151,64,16,21.22,59.25,2130.26,Potato,Sowing,Kharif,Canal,Sugarcane,East,207.0,4.54,MOP
Loamy,7.4,27.76,0.59,1.18,64,27,49,10.56,54.96,1746.67,Sugarcane,Flowering,Zaid,Sprinkler,Maize,West,257.63,4.8,NPK
Silt,5.66,39.05,0.47,1.18,126,68,88,35.4,82.15,2046.44,Potato,Sowing,Kharif,Rainfed,Rice,South,192.52,4.21,Compost
Silt,7.58,23.36,0.41,2.06,86,83,93,13.64,79.21,1033.39,Wheat,Harvest,Kharif,Sprinkler,Sugarcane,North,298.86,1.0,Compost
Sandy,7.57,40.47,0.48,1.69,115,44,39,27.65,51.94,1095.4,Potato,Sowing,Kharif,Drip,Rice,South,162.9,3.88,MOP
Clay,6.74,15.61,0.27,1.61,76,51,58,31.54,73.94,1732.72,Tomato,Sowing,Kharif,Canal,Maize,West,108.26,5.49,Compost
Sandy,5.46,26.62,0.28,2.64,132,73,74,28.53,46.6,1545.84,Wheat,Sowing,Zaid,Drip,Maize,Central,148.06,3.94,Compost
Sandy,7.32,60.0,0.67,2.31,40,13,41,27.44,77.93,1588.94,Maize,Vegetative,Zaid,Drip,Tomato,South,158.21,4.45,NPK
Loamy,7.92,19.17,0.76,1.3,23,31,23,27.66,68.33,1407.59,Maize,Vegetative,Rabi,Sprinkler,Wheat,South,126.58,3.49,NPK
Sandy,5.83,51.59,1.37,2.07,100,14,53,29.51,79.58,2227.64,Sugarcane,Vegetative,Kharif,Rainfed,Sugarcane,East,300.0,1.94,Compost
Sandy,7.85,44.99,0.59,1.14,69,88,62,22.38,55.38,1662.01,Rice,Flowering,Zaid,Drip,Maize,West,129.04,4.21,Zinc Sulphate
Loamy,5.44,32.84,0.2,1.44,80,29,66,26.54,47.94,672.14,Tomato,Vegetative,Rabi,Drip,Rice,Central,181.12,3.68,SSP
Silt,6.93,28.13,0.33,1.73,34,70,78,19.56,67.38,1075.91,Potato,Vegetative,Rabi,Rainfed,Rice,North,211.69,5.15,Urea
Sandy,7.14,51.13,0.66,1.25,23,10,27,28.31,57.27,1114.63,Tomato,Harvest,Rabi,Sprinkler,Cotton,South,170.38,2.72,NPK
Loamy,6.98,54.04,1.24,1.67,125,63,21,27.76,86.95,457.55,Tomato,Sowing,Rabi,Drip,Potato,West,209.1,7.72,MOP
Clay,7.93,33.16,1.01,0.66,87,67,107,22.59,61.57,464.2,Wheat,Sowing,Rabi,Canal,Rice,East,232.06,4.63,Zinc Sulphate
Silt,6.65,39.47,0.59,2.53,47,79,99,31.88,35.28,2743.21,Sugarcane,Flowering,Kharif,Drip,Wheat,West,111.46,7.62,Urea
Silt,6.41,42.64,1.22,2.29,24,46,57,32.57,60.84,433.87,Sugarcane,Sowing,Rabi,Drip,Potato,South,300.0,4.41,Urea
Sandy,6.56,55.26,1.14,0.88,60,47,54,24.63,82.39,2206.42,Cotton,Harvest,Kharif,Rainfed,Wheat,South,159.11,1.0,Urea
Sandy,6.0,10.61,0.4,2.14,72,83,14,21.04,63.27,905.8,Wheat,Sowing,Zaid,Rainfed,Wheat,West,230.16,2.9,Compost
Silt,6.0,29.5,0.2,0.55,31,38,25,28.2,69.67,1197.79,Sugarcane,Sowing,Zaid,Drip,Wheat,West,94.78,8.0,NPK
Clay,4.98,50.49,0.78,1.66,94,12,41,37.54,70.41,1220.54,Tomato,Harvest,Zaid,Canal,Potato,Central,174.69,2.89,SSP
Clay,7.5,37.26,0.34,3.0,105,49,12,15.25,47.73,1618.53,Sugarcane,Flowering,Kharif,Rainfed,Rice,West,236.98,3.78,MOP
Silt,4.68,30.79,0.55,2.65,116,16,115,39.63,53.87,2723.31,Maize,Flowering,Rabi,Sprinkler,Tomato,South,132.57,4.91,DAP
Loamy,6.56,25.81,0.3,1.54,37,88,64,23.95,53.47,1967.04,Rice,Flowering,Rabi,Sprinkler,Sugarcane,South,182.79,5.52,Urea
Sandy,6.24,28.25,0.49,2.34,86,54,12,22.89,56.76,1256.66,Potato,Harvest,Zaid,Sprinkler,Maize,Central,106.15,7.63,MOP
Silt,6.91,39.21,1.09,1.44,24,65,68,22.16,78.45,2641.04,Rice,Harvest,Rabi,Sprinkler,Potato,North,230.9,2.45,Urea
Loamy,5.48,10.52,1.22,1.07,116,20,105,18.62,62.35,625.59,Sugarcane,Vegetative,Zaid,Drip,Potato,East,289.32,2.33,SSP
Silt,6.77,29.92,1.12,2.27,57,40,56,32.41,75.38,2028.36,Sugarcane,Vegetative,Kharif,Drip,Wheat,East,150.69,3.31,Urea
Sandy,6.74,52.64,0.59,2.23,62,26,112,32.7,37.84,1169.24,Rice,Sowing,Kharif,Sprinkler,Rice,North,165.87,6.28,DAP
Clay,6.35,35.59,0.92,1.1,56,31,25,23.94,46.56,1505.82,Maize,Harvest,Rabi,Rainfed,Cotton,East,193.76,6.49,NPK
Silt,6.24,19.45,0.87,2.03,37,33,40,32.81,46.8,200.0,Sugarcane,Sowing,Kharif,Rainfed,Maize,West,111.52,5.65,NPK
Sandy,7.6,15.87,0.35,2.37,134,77,99,27.48,70.65,1714.52,Cotton,Harvest,Kharif,Drip,Tomato,North,161.22,4.6,Compost
Loamy,5.88,24.86,1.05,2.15,43,20,45,29.18,61.09,1056.19,Sugarcane,Vegetative,Zaid,Drip,Tomato,South,187.78,6.11,NPK
Sandy,6.84,19.84,0.2,0.53,60,31,113,22.09,79.28,1322.1,Cotton,Sowing,Rabi,Sprinkler,Cotton,North,138.27,4.86,DAP
Clay,5.47,32.09,1.36,1.05,96,25,75,23.99,76.57,335.73,Maize,Flowering,Rabi,Sprinkler,Potato,Central,300.0,4.17,SSP
Silt,4.89,33.15,1.19,3.0,126,24,45,29.0,75.31,1605.76,Wheat,Sowing,Kharif,Drip,Tomato,Central,165.6,2.07,SSP
Clay,5.51,40.26,0.49,2.27,57,30,54,33.69,67.92,200.0,Rice,Sowing,Rabi,Canal,Maize,East,198.41,3.41,SSP
Clay,5.93,22.8,0.35,0.84,28,15,81,30.09,47.96,1678.02,Potato,Sowing,Zaid,Rainfed,Rice,Central,146.32,8.0,Compost
Loamy,6.55,38.91,0.7,1.0,28,22,83,30.2,59.82,1049.17,Cotton,Vegetative,Kharif,Sprinkler,Rice,West,161.64,7.99,DAP
Loamy,8.5,17.79,0.31,2.35,39,45,37,22.18,75.99,200.0,Rice,Vegetative,Zaid,Drip,Potato,East,100.33,4.89,Compost
Sandy,5.13,25.68,0.85,1.65,62,68,25,28.59,74.55,1243.82,Potato,Flowering,Rabi,Sprinkler,Maize,East,106.05,6.38,MOP
Clay,6.28,38.65,0.46,0.51,28,77,71,25.41,59.02,923.3,Sugarcane,Vegetative,Rabi,Sprinkler,Tomato,North,90.29,5.85,Urea
Silt,5.61,35.89,0.31,1.5,35,38,47,26.17,44.17,329.28,Potato,Sowing,Zaid,Drip,Wheat,South,218.7,4.41,NPK
